alpha,nu,S,phi_k,xi_bar,a,wss,els
0.25,0.6,0.0,0.0,0.025,0.001,1.5567376161356705,39.80970136934546
0.25,0.6,0.0,0.0,0.05,0.001,1.5493540558399685,26.175815367927452
0.25,0.6,0.0,0.0,0.07500000000000001,0.001,1.5425932042945174,26.40061856461721
0.25,0.6,0.0,0.0,0.1,0.001,1.5364933385157815,24.374173936439696
0.25,0.6,0.0,0.0,0.125,0.001,1.5309657489034716,20.40669122279976
0.25,0.6,0.0,0.0,0.15000000000000002,0.001,1.5257539751637201,17.778343820014157
0.25,0.6,0.0,0.0,0.17500000000000002,0.001,1.5208458066467205,15.509410475721543
0.25,0.6,0.0,0.0,0.2,0.001,1.5161467611251531,13.922145426337368
0.25,0.6,0.0,0.0,0.225,0.001,1.5116273885611964,12.612324200027244
0.25,0.6,0.0,0.0,0.25,0.001,1.507283952430611,11.47455094585383
0.25,0.6,0.0,0.0,0.275,0.001,1.503055344698076,10.577136640575354
0.25,0.6,0.0,0.0,0.30000000000000004,0.001,1.498920891812679,9.99277576270028
0.25,0.6,0.0,0.0,0.325,0.001,1.4949853313968415,9.024384755927295
0.25,0.6,0.0,0.0,0.35000000000000003,0.001,1.4910888772268414,8.410141616686138
0.25,0.6,0.0,0.0,0.375,0.001,1.4872767485332905,7.8790801100235175
0.25,0.6,0.0,0.0,0.4,0.001,1.4835343177446363,7.696444550387281
0.25,0.6,0.0,0.0,0.42500000000000004,0.001,1.479951629896399,6.968630106597669
0.25,0.6,0.0,0.0,0.45,0.001,1.4763615361945432,6.565058480842535
0.25,0.6,0.0,0.0,0.47500000000000003,0.001,1.4728179979287397,6.252293461908681
0.25,0.6,0.0,0.0,0.5,0.001,1.4693239688240944,5.963374107033345
0.25,0.6,0.0,0.0,0.525,0.001,1.4658764406998244,5.869474883920858
0.25,0.6,0.0,0.0,0.55,0.001,1.4625674141426874,5.458931718543214
0.25,0.6,0.0,0.0,0.5750000000000001,0.001,1.4592226018112564,5.239327096542323
0.25,0.6,0.0,0.0,0.6000000000000001,0.001,1.455914108086374,5.059710009512801
0.25,0.6,0.0,0.0,0.625,0.001,1.4526487913635833,4.904794627504568
0.25,0.6,0.0,0.0,0.65,0.001,1.4494310562692767,4.756110087983942
0.25,0.6,0.0,0.0,0.675,0.001,1.4462558746493752,4.658045227031645
0.25,0.6,0.0,0.0,0.7000000000000001,0.001,1.4431871997095826,4.643584643570327
0.25,0.6,0.0,0.0,0.7250000000000001,0.001,1.4401463058154342,4.370628643278641
0.25,0.6,0.0,0.0,0.75,0.001,1.4371330441528685,4.267961342180749
0.25,0.6,0.0,0.0,0.775,0.001,1.4341790413478548,4.181295647876522
0.25,0.6,0.0,0.0,0.8,0.001,1.4312900019042079,4.100686686313275
0.25,0.6,0.0,0.0,0.8250000000000001,0.001,1.428467179168689,4.031854981771431
0.25,0.6,0.0,0.0,0.8500000000000001,0.001,1.425715101308154,3.9907208223401387
0.25,0.6,0.0,0.0,0.875,0.001,1.423044798015936,4.144748672372744
0.25,0.6,0.0,0.0,0.9,0.001,1.420469901793949,3.8057826085349453
0.25,0.6,0.0,0.0,0.925,0.001,1.4179152368773589,3.7404637149789615
0.25,0.6,0.0,0.0,0.9500000000000001,0.001,1.41541992449829,3.6854916513826383
0.25,0.6,0.0,0.0,0.9750000000000001,0.001,1.4129832209371167,3.634119958836824
0.25,0.6,0.0,0.0,1.0,0.001,1.4106020943502147,3.5854840502029783
0.25,0.6,0.0,2.4,0.025,0.001,1.5385726550884518,21.97910656175642
0.25,0.6,0.0,2.4,0.05,0.001,1.5296560851693706,18.47221861770978
0.25,0.6,0.0,2.4,0.07500000000000001,0.001,1.5224531930315988,15.832462325359941
0.25,0.6,0.0,2.4,0.1,0.001,1.5161487449010487,14.809091057430804
0.25,0.6,0.0,2.4,0.125,0.001,1.510272180024349,13.522530863975915
0.25,0.6,0.0,2.4,0.15000000000000002,0.001,1.504839670530096,12.887076481019163
0.25,0.6,0.0,2.4,0.17500000000000002,0.001,1.4996956729174467,11.834246937425437
0.25,0.6,0.0,2.4,0.2,0.001,1.4947759576851016,11.11045350852061
0.25,0.6,0.0,2.4,0.225,0.001,1.4900668291387886,10.754127053029398
0.25,0.6,0.0,2.4,0.25,0.001,1.4855869872004381,10.095192243159135
0.25,0.6,0.0,2.4,0.275,0.001,1.4811839386176393,9.24985541656243
0.25,0.6,0.0,2.4,0.30000000000000004,0.001,1.4768690937936155,8.461718979515313
0.25,0.6,0.0,2.4,0.325,0.001,1.4727316440579454,8.377933539889455
0.25,0.6,0.0,2.4,0.35000000000000003,0.001,1.4687639403714554,7.392855241357457
0.25,0.6,0.0,2.4,0.375,0.001,1.4647826008942946,7.09059676224626
0.25,0.6,0.0,2.4,0.4,0.001,1.4608923969039518,6.845311195514044
0.25,0.6,0.0,2.4,0.42500000000000004,0.001,1.4571130357338598,6.647821269507628
0.25,0.6,0.0,2.4,0.45,0.001,1.4534666571557133,6.671356765891883
0.25,0.6,0.0,2.4,0.47500000000000003,0.001,1.4499319429013346,6.288275332399431
0.25,0.6,0.0,2.4,0.5,0.001,1.4463935172157827,5.73550983285059
0.25,0.6,0.0,2.4,0.525,0.001,1.4428767228162105,5.594850906891815
0.25,0.6,0.0,2.4,0.55,0.001,1.4394225276425043,5.476740903262727
0.25,0.6,0.0,2.4,0.5750000000000001,0.001,1.4360285572982754,5.410690397702263
0.25,0.6,0.0,2.4,0.6000000000000001,0.001,1.43272041421865,5.42480626839538
0.25,0.6,0.0,2.4,0.625,0.001,1.4294762833528392,5.140765443764607
0.25,0.6,0.0,2.4,0.65,0.001,1.426244635652199,5.056785186167679
0.25,0.6,0.0,2.4,0.675,0.001,1.4230766895705098,4.976851369370937
0.25,0.6,0.0,2.4,0.7000000000000001,0.001,1.419977065049423,4.897501284873977
0.25,0.6,0.0,2.4,0.7250000000000001,0.001,1.416947784843615,4.826753264768255
0.25,0.6,0.0,2.4,0.75,0.001,1.4139972574175554,4.7712791988615875
0.25,0.6,0.0,2.4,0.775,0.001,1.411150437560928,4.511916633808236
0.25,0.6,0.0,2.4,0.8,0.001,1.4083768648030923,4.320777094087712
0.25,0.6,0.0,2.4,0.8250000000000001,0.001,1.405649496476068,4.257328918422673
0.25,0.6,0.0,2.4,0.8500000000000001,0.001,1.4029992449148438,4.199381344563598
0.25,0.6,0.0,2.4,0.875,0.001,1.4004216859856526,4.131591269899819
0.25,0.6,0.0,2.4,0.9,0.001,1.3979089759503351,4.077528680133505
0.25,0.6,0.0,2.4,0.925,0.001,1.3954596673356559,4.026910226731651
0.25,0.6,0.0,2.4,0.9500000000000001,0.001,1.393069128315407,3.993056152345515
0.25,0.6,0.0,2.4,0.9750000000000001,0.001,1.3907399970463004,4.002676393032303
0.25,0.6,0.0,2.4,1.0,0.001,1.388475487999899,3.931309902831293
